Gene	HGNC_Id	Entrez_Gene_Id	Condition	Inheritance	Age_Group	Allelic_Conditions	Manifestation_Categories	Intervention_Categories	Comments	Intervention_Rationale	Refs
ABCB4	45	5244	Cholestasis, progressive familial intrahepatic 3; Low phospholipid-associated cholelithiasis 1;  Cholestasis, oral contraceptives induced; Cholestasis, familial intrahepatic, of pregnancy; Gallbladder disease 1	AD/AR	Pediatric		Gastrointestinal	Gastrointestinal; Obstetric; Pharmacogenomic	Heterozygous mutations reported in Cholestasis, progressive familial intrahepatic 3 are associated with other related conditions such as Intrahepatic cholestasis of pregnancy	Medical treatment (eg, with ursodeoxycholine) may be beneficial, though in some forms, liver transplantation has been described as necessary; Medications (eg, OCPs) may lead to adverse reactions; In pregnancy, the condition can cause severe sequelae (including death) in the fetus, as well as adverse maternal health outcomes, and precautions, including early delivery, may be beneficial	8666348; 9049190; 9419367; 9923886; 10767346; 11313315; 11313316; 15203080; 17726488; 17414143; 18482588; 19584064; 20887599; 20537830; 21310683; 21119540; 21989363
ABCB6	47	10058	Blood group, Langereis system	BG	Pediatric	Allelic with Dyschromatosis universalis hereditaria (AD); Familial pseudohyperkalemia (AD); Microphthalmia, isolated, with coloboma 7 (AD)	Dermatologic; Hematologic; Ophthalmologic	General; Hematologic		Variants associated with a blood group may be important in specific situations (eg, related to transfusion); In Microphthalmia, isolated, with coloboma 7, genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing	5790273; 22246506; 22226084; 23180570; 23519333
ABCB7	48	22	Anemia, sideroblastic, and spinocerebellar ataxia	XL	N/A	N/A	Hematologic; Neurologic	General		Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing	4045952; 10196363; 20301496; 22398176 
ABCC11	14639	85320	Apocrine gland secretion, variation in	AR	N/A	N/A	Dermatologic	General		The clinical relevance is unclear	16444273; 19710689
ABCC2	53	1244	Dubin-Johnson syndrome	AD/AR	N/A	N/A	Gastrointestinal	General	Heterozygotes may display manifestations; The presence of variants may have pharmacogenomic implications	Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing	13193360; 5926936; 5532959; 520367; 2035335; 8621134; 9425227; 16952291; 16863439; 16549534; 19881259; 21044052; 22955427; 23007012; 23069858; 23115734 
ABCC6	57	368	Pseudoxanthoma elasticum	AD/AR/Digenic	Pediatric	Allelic with Generalized calcification of infancy, 2 (AR)	Cardiovascular; Dermatologic; Hematologic; Ophthalmologic	Cardiovascular; Hematologic; Ophthalmologic	In "recessive" forms, heterozygotes may have mild manifestations; Digenic inheritance (with GGCX) has been reported	Preventive measures (eg, weight control, avoidance of smoking, and medical management of hypertension and hypercholesterolemia) related to cardiovascular risk factors may be beneficial by decreasing contributory factors related to atherosclerosis; Awareness may allow surveillance for and early detection and treatment of  cardiovascular (eg, surgical interventions related to vascular disease) and hematologic manifestations (eg, interventions related to GI bleeding); Standard treatment for macular degeneration (including intraocular injection of anti-angiogenic drugs) may be beneficial, and awareness of ophthalmologic aspects may allow early detection and treatment; Circumstances such as contact sports and the use of medications that increase the risk of GI bleeding should be avoided	14068068; 3652487; 3342167; 2012127; 1600795; 8413390; 10619263; 10835643; 10835642; 10811882; 11209132; 15098239; 16086317; 18157818; 18800149; 19298904;  20034067; 20075945; 20301292; 21210805; 21386758; 21671388; 22209248; 23675997; 23746223; 23935882; 23968982; 23978319; 24008425
ABCC8	59	6833	Diabetes mellitus, transient neonatal, 2; Diabetes, permanent neonatal; Hyperinsulinemic hypoglycemia, familial, 1; Hypoglycemia, leucine-induced	AD/AR	Pediatric		Endocrine	Endocrine	Hyperinsulinemic hypoglycemia, familial, 1 inheritance may involve imprinting	Prompt treatment (eg, of ketoacidosis and dehydration) can avoid morbidity; Individuals with neonatal diabetes mellitus may respond well to sulfonylurea treatment; Non-neonatally affected individuals may respond to diazoxide; Individuals with leucine-induced hypoglycemia may have episodes triggered by high-protein (high leucine)  feedings, and may respond to diazoxide	7847376; 7716548; 923011; 8751851; 9727845; 10426386; 10322395; 11808881; 10334322; 1018078; 12559865; 12941782; 15356046; 15579781; 16885549; 16882742; 16613899; 8596924; 19254908; 20301620; 21716120; 23273570
ABCC9	60	10060	Cardiomyopathy, dilated, 10; Atrial fibrillation, familial 12; Cantu syndrome	AD	Pediatric		Cardiovascular; Dermatologic; Musculoskeletal	Cardiovascular	Though manifestations have been described in adults, surveillance and interventions should likely begin in the pediatric period	Surveillance for related cardiac complications, which have been reported to include cardiomyopathy and arrhythmias, may allow early medical intervention, decreasing  morbidity and mortality; Cantu syndrome, which may be clinically recognizable,  can include cardiovascular malformations that would benefit from surveillance/intervention similar to other ABCC9-related disorders	15034580; 16563363; 17245405; 22610116; 22608503 
ABCD1	61	215	Adrenoleukodystrophy	XL	Pediatric		Biochemical; Endocrine; Neurologic	Biochemical		For individuals with adrenal insufficiency, corticosteroid treatment is indicated; In asymptomatic individuals with ALD, treatment with "Lorenzo's oil" (oleic and erucic acids) may be beneficial in combination with dietary measures, though the benefit of such treatment in other affected individuals, such as symptomatic individuals, may not warrant such treatment ; BMT/HSCT has been reported as effective if performed early	169765; 61263; 965973; 200861; 200862; 218453; 7438498; 7436359; 6299222; 7202134; 6280106; 6387532; 2682348; 2309698; 7904210; 8094785; 8338333; 8441467; 7849723; 8040304; 7581394; 7825602; 8566952; 8636252; 9062496; 9183487; 10073906; 9894883; 11748843; 11085690;  11204280; 11916318; 11220738; 12210797; 12486501; 12913200; 15073029; 15812458; 16240348; 15668429; 16305618; 16380594; 16009761; 16313334; 17372139; 17353371; 18759549; 19892975; 20301491 
ABCD3	67	5825	Zellweger syndrome	AR	N/A	N/A	Biochemical; Craniofacial; Neurologic	General	The pathogenesis of variants are considered unclear	Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing	1301993; 9199576; 10447258; 17092750 
ABCD4	68	5826	Methylmalonic aciduria and homocystinuria, cblJ type	AR	Pediatric		Allergy/Immunology/Infectious; Biochemical; Cardiovascular; Neurologic	Allergy/Immunology/Infectious; Biochemical; Cardiovascular		Administration of hydroxocobalamin/methylcobalamin has been described as beneficial; Due to infectious risks, administration of G-CSF has been described, and early and aggressive treatment of infections may be benefiical; Surveillance for cardiovascular manifestations may allow early management	22922874; 23141461 
ABCG2	74	9429	Blood group, junior system	BG	Pediatric		Hematologic	Hematologic		Variants associated with a blood group may be important in specific situations (eg, related to transfusion)	567888; 18522708; 20890084; 22246505; 22246507
ABCG5	13886	64240	Sitosterolemia	AR	Pediatric		Biochemical; Cardiovascular; Hematologic	Biochemical; Cardiovascular		In some individuals, medical (eg, with bile acid resins/lipid-lowering agents) and dietary (eg, with cholesterol and plant fat restriction) treatment may be beneficial for some parameters, and may, along with preventive measures related to cardiovascular manifestations, reduce morbidity and mortality 	11099417; 11138003; 12840092; 16029460; 16472606; 17018391; 17785700; 17976197; 19111681; 20521169; 20543520; 20719861; 21576934; 24166850
ABCG8	13887	64241	Sitosterolemia	AR	Pediatric		Biochemical; Cardiovascular; Hematologic	Biochemical; Cardiovascular		In some individuals, medical (eg, with bile acid resins/lipid-lowering agents) and dietary (eg, with cholesterol and plant fat restriction) treatment may be beneficial for some parameters, and may, along with preventive measures related to cardiovascular manifestations, reduce morbidity and mortality 	11099417; 12840092; 16029460;  15996216
ABHD12	15868	26090	Polyneuropathy, hearing loss, ataxia, retinitis pigmentosa, and cataract	AR	N/A	N/A	Audiologic/Otolaryngologic; Musculoskeletal; Neurologic; Ophthalmologic	General		Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing	19005174; 20797687; 22938382 
ABHD5	21396	51099	Chanarin-Dorfman syndrome	AR	N/A	N/A	Biochemical; Dermatologic	General	Manifestations can include severe hepatic sequelae	Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing	10712205; 11590543; 21757733; 22245374; 22373837 
ABO	79	28	Blood group, ABO system	BG	Pediatric		Hematologic	Hematologic		Variants associated with a blood group may be important in specific situations (eg, related to transfusion)	4014172; 2647864; 2333095; 1303212; 1572640; 8075282; 7772867; 9099833; 11520811; 12014997; 12829588; 17959777 
ACAD8	87	27034	Isobutyryl-CoA dehydrogenase deficiency	AR	Pediatric		Biochemical; Cardiovascular; Hematologic; Musculoskeletal; Neurologic	Biochemical		Metabolic precautions may be beneficial to prevent and treat acute decompensation; Medical treatment (eg, with oral L-carnitine) has been reported as allowing growth catch-up and normalization of cardiac status	9889013; 12359132; 17304052; 16857760; 17924841; 21290185; 22241096 
ACAD9	21497	28976	Acyl-CoA dehydrogenase family, member 9, deficiency of	AR	Pediatric		Biochemical; Cardiovascular; Gastrointestinal; Musculoskeletal; Neurologic	Biochemical		Individuals may present early in life with findings including neurologic abnormalities, cardiomyopathy, and lactic acidosis, and early institution of medical treatment (eg, with riboflavin) has been reported as leading to marked decreases in morbidity/mortality	17564966; 21057504; 20929961 
ACADM	89	34	Acyl-CoA dehydrogenase, medium chain, deficiency of	AR	Pediatric		Biochemical; Musculoskeletal; Neurologic	Biochemical		Dietary treatment (eg, with frequent feedings in infancy, and low-fat diet for toddlers, as well as bedtime administration of uncooked cornstarch to avoid overnight hypoglycemia); In order to avoid/treat catabolism, simple oral (or IV if necessary) carbohydrates can be effective; Fasting should be avoided, as should infant formulas whose primary fat source is medium-chain triglycerides	947635; 6402754; 6857268; 6646897; 3462713; 3944676; 3822638; 2502671; 2393404; 1361190; 8120710; 7603790; 9158144; 11349232; 11524729; 11409868; 15915086; 15832312; 19780764; 20923556; 20434380; 21239873; 20301597 
ACADS	90	35	Acyl-CoA dehydrogenase, short-chain, deficiency of	AR	Pediatric		Biochemical;Musculoskeletal; Neurologic	Biochemical		Clinical manifestations range from infantile acute acidosis and muscle weakness to chronic adult myopathy, and in the infantile forms, medical/dietary therapy (eg,  IV glucose/carnitine in the initial phase, and low-fat, diet with MCT oil and carnitine and riboflavin, as well as  avoidance of fasting) can be effective	3571488; 3335634; 2808706; 7776094; 9266373; 9499414; 9578969; 9932958; 11134486; 11524729; 18523805; 18054510; 20376488; 20429031; 21325261; 21500142 
ACADSB	91	36	2-methylbutyryl-CoA dehydrogenase deficiency	AR	N/A	N/A	Biochemical	General		The clinical relevance of the condition is unclear, though some have stated that special attention may be necessary in situations involving potential metabolic decompensation	10832746; 12837870; 16317551; 17883863; 17945527; 20547083; 21290185 
ACADVL	92	37	Acyl-CoA dehydrogenase, very long chain, deficiency of	AR	Pediatric		Biochemical; Cardiovascular; Gastrointestinal; Musculoskeletal; Neurologic; Renal	Biochemical; Cardiovascular; Musculoskeletal; Renal		There are multiple forms of VLCAD deficiency, and interventions depend on the form (typical medical/dietary therapy includes IV glucose/carnitine in initial phases, as well as low-fat, diet with MCT oil and carnitine, and avoidance of fasting); In the severe, early-onset form, medical treatment of cardiomyopathy may be beneficial; In thechildhood onset form, treatment of hypoketotic hypoglycemia may be beneficial; In the adult-onset, myopathic form, preventive measures related to with irhabdomyolysis, and myoglobinuria after exercise or fasting may be beneficial	4022672; 2059253; 2000272; 1527994; 8422439; 8356011; 8145917; 7668252; 7769092; 7479827; 8739959; 8554073; 9709714; 9877038; 9546340; 9973285; 10077518; 10790204; 11158518; 11524729; 15210884; 17636072; 19327992; 19208414; 19399638; 19452263; 21531094; 21814341; 22847164; 23480858
ACAN	319	176	Spondyloepimetaphyseal dysplasia, aggrecan type; Spondyloepiphyseal dysplasia, Kimberley type; Osteochondritis dissecans, short stature, and early-onset osteoarthritis 	AD/AR	N/A	N/A	Craniofacial; Musculoskeletal	General		Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing	14353963; 14216462; 7331787; 3968094; 1978986; 16080123; 18226555; 19110214; 20137779
ACAT1	93	38	3-oxothiolase deficiency	AR	Pediatric		Biochemical; Neurologic	Biochemical		Individuals typically present with hypoglycemic or hyperglycemic ketoacidosis due to fasting, illnesses, and dietary changes (eg, increased protein), which can result in severe neurologic sequelae or death, and diagnosis can allow dietary and medical management (eg, protein restriction and l-carnitine supplementation) to avoid acute crises and subsequent sequelae	4143539; 4690360; 4812006; 8103405; 8103405; 9700610; 15877211; 17236799; 18511318; 16950638; 20046049; 20157782; 21669895; 23430882; 23920042; 23958592
ACE	2707	1636	Renal tubular dysgenesis; ACE serum levels	AD/AR	N/A	N/A	Renal	General		The clinical applicability of ACE levels is unclear; For Renal tubular dysgenesis, genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing	2989970; 1976655; 1328889; 1386652; 8131299; 7909524; 8208911; 8314010; 8675669; 7593601; 9120002; 11076943; 11551873; 11956052; 12666117; 15381116; 15531537; 15277638; 16116425
ACHE	108	43	Blood group, Yt system	BG	Pediatric		Hematologic	Hematologic		Variants associated with a blood group may be important in specific situations (eg, related to transfusion)	8488842
ACO2	118	50	Infantile cerebellar-retinal degeneration	AR	N/A	N/A	Neurologic; Ophthalmologic 	General		Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing	22405087
ACOX1	119	51	Peroxisomal acyl-CoA oxidase deficiency	AR	N/A	N/A	Audiologic/Otolaryngologic; Biochemical; Craniofacial; Neurologic; Ophthalmologic	General		Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing	2894756; 8040306; 8279468; 11815777; 17458872; 18536048
ACP5	124	54	Spondyloenchondrodysplasia with immune dysregulation	AR	Pediatric		Allergy/Immunology/Infectious; Endocrine; Musculoskeletal; Neurologic	Allergy/Immunology/Infectious	Clinically recognizable non-immune features may not be recognized early; The condition can affect multiple organ systems for which early knowledge of disease could be beneficial, including infectious and autoimmune sequelae	Individuals may have immune deficiency, and a variety of infections have been reported, including pneunomia, upper respiratory infections, and severe varicella infections, and thus antiinfectious prophylaxis and  early and aggressive treatment of infections may be beneficial; Individuals may also have a variety of autoimmune manifestations, including hypothyroidism, and treatment may be beneficial	12786759; 17497723; 17163538; 18924170; 21217755; 21217752
ACSF3	27288	197322	Combined malonic and methylmalonic aciduria	AR	Pediatric		Biochemical; Neurologic	Biochemical		Although the optimal treatment (as well as the requirement thereof) is currently unclear, low-protein diet may be beneficial, and general management similar to that in methylmalonic acidemia may be beneficial	9700595; 21785126; 21841779
ACSL4	3571	2182	Mental retardation, X-linked 63	XL	N/A	N/A	Neurologic	General		Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing	10854107; 11889465; 12525535
ACTA1	129	58	Myopathy, congenital, with fiber-type disproportion 1; Myopathy, nemaline 3; Myopathy, nemaline, with stiffness and hypertonia	AD	N/A	N/A	Musculoskeletal; Neurologic	General		Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing	9185179; 10508519; 11333380; 15520409; 15468086; 16427282; 19553116; 22442437
ACTA2	130	59	Moyamoya disease; Multisystemic smooth muscle dysfunction syndrome; Aortic aneurysm, familial thoracic 6	AD	Pediatric		Cardiovascular; Dermatologic; Musculoskeletal; Neurologic; Ophthalmologic	Cardiovascular		Surveillance for cardiovascular complications (eg, aortic aneurysm), as well as related preventive measures to help control contributory factors may reduce morbidity and mortality by allowing early diagnosis and treatment	17994018; 19409525; 22051261; 22302747 
ACTB	132	60	Dystonia, juvenile-onset; Baraitser-Winter syndrome 2	AD	N/A	N/A	Audiologic/Otolaryngologic; Craniofacial; Musculoskeletal; Neurologic; Ophthalmologic 	General		Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing	3351890; 12325076; 16685646; 22366783; 23649928
ACTC1	143	70	Cardiomyopathy, dilated , 1R; Cardiomyopathy, familial hypertrophic 11; Cardiomyopathy, restrictive; Left ventricular noncompaction; Atrial septal defect 5	AD	Pediatric		Cardiovascular	Cardiovascular	Different ACTC1-related disorders have been associated with pediatric or adult-onset disease, but surveillance beginning in the pediatric period may be beneficial	Surveillance (including with electrocardiogram and echocardiogram), preventive measures, and medical management of cardiomyopathies may be helpful to help decrease morbidity and mortality	9563954; 10330430; 10966831; 6267253; 17611253; 18467357; 18506004; 17947298; 20301486; 20301725; 21239446 
ACTG1	144	71	Deafness, autosomal dominant 20; Baraitser-Winter syndrome 2	AD	N/A	N/A	Audiologic/Otolaryngologic; Craniofacial; Musculoskeletal; Neurologic; Ophthalmologic	General	Baraitser-Winter syndrome 2 condition can include hearing impairment as well as multiple congenital anomalies	Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing	5654493; 3351890; 12519370; 14684684; 13680526; 16773128; 19477959; 22366783
ACTN1	163	87	Bleeding disorder, platelet-type, 15	AD	N/A	N/A	Hematologic	General	Individuals have been described with no or mild bleeding tendency, and it is unclear that genetic diagnosis would enable interventions or differences in management	Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing	23434115
ACTN2	164	88	Cardiomyopathy, dilated, 1AA; Cardiomyopathy, hypertrophic	AD	Pediatric		Cardiovascular	Cardiovascular	There is a paucity of functional data demonstrating causation	Preventive measures and medical management of cardiomyopathy may be helpful to help decrease morbidity and mortality	14567970; 20301486; 20022194; 20301725
ACTN4	166	81	Glomerulosclerosis, focal segmental, 4	AD	N/A	N/A	Renal	General		Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing	10700177; 15208719; 19142020; 19357256; 19666657
ACVR1	171	90	Fibrodysplasia ossificans progressiva	AD	N/A	N/A	Musculoskeletal	General		Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing	8758048; 17077940; 16642017; 17351709; 18830232; 19330033
ACVR2B	174	93	Heterotaxy, visceral, 4, autosomal	AD	N/A	N/A	Cardiovascular; Gastrointestinal; Musculoskeletal	General		Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing	9916847
ACVRL1	175	94	Hereditary hemorrhagic telangiectasia, type 2	AD	Pediatric		Cardiovascular; Dermatologic; Gastrointestinal; Hematologic; Pulmonary	Cardiovascular; Gastrointestinal; Hematologic; Obstetric; Pharmacogenomic; Pulmonary		There are a number of surveillance/preventive/treatment based measures; These include: epistaxis treatment with humidification, lubricants, hormone therapy, anti-fibrinolytic agents, ablation, surgery, etc.; GI bleeding: iron replacement, hormonal or anti-fibrinolytic medication, surgery, etc.; Pulmonary AVM: catheter occlusion, and preventive measures such as antibiotic prophylaxis; symptomatic cerebral AVMs: surgery/embolotherapy, etc;  Severe hepatic AVMs: liver transplantation if medical management fails; Specific pregnancy-related screening may be indicated; Anemia: Iron replacement or transfusion; Avoidance of certain activities and use of anticoagulant and anti-inflammatory agents (including aspirin) in the case of significant bleeding; For PAH, medical therapy (eg, prostanoids, endothelin receptor antagonists, etc.) may be beneficial, but lung transplantation may be indicated	5037289; 3186989; 8640225; 10946360; 9354504; 11170071; 11484689; 14684682; 16470787; 16155196; 6542389; 17786384; 18498373; 18831062; 18312453; 19439755; 20056902; 20301525
ACY1	177	95	Aminoacylase 1 deficiency	AR	N/A	N/A	Biochemical; Neurologic	General	The clinical relevance of the condition is unclear, though some have suggested disadvantage in periods of profound catabolism or starvation, as well as pharmacogenomic situations	Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing	16274666; 16465618; 17562838; 20480396 
ADA	186	100	Severe combined immunodeficiency due to adenosine deaminase deficiency	AR	Pediatric		Allergy/Immunology/Infectious; Oncologic	Allergy/Immunology/Infectious; Oncologic	Variants may also contribute to Partial ADA deficiency; Gene therapy may be available, though largely on an experimental basis	Enzyme treatment (with PEG-ADA) is beneficial; Antiinfectious prophylaxis and early and aggressive treatment of infections are indicated; BMT has been described in many individuals; Surveillance for certain neoplasms may be beneficial	4117384; 46025; 1089883; 978319; 18618; 980079; 477037; 38963; 7436484; 6863546; 3781559; 3946419; 3007108; 3475710; 3807953; 3260944; 2783588; 2166947; 8227344; 8099155; 8051429; 1974554; 8023852; 8120281; 9108404; 10021471; 12089448; 14499267; 16905365; 19638621; 21725047; 21865538; 22153773; 22348551; 22447032; 22791287; 22805442; 22968453; 23118212; 23895897
ADAM10	188	102	Reticulate acropigmentation of Kitamura	AD	N/A	N/A	Dermatologic	General		Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing	23666529
ADAM17	195	6868	Inflammatory skin and bowel disease, neonatal	AR	Pediatric		Allergy/Immunology/Infectious; Cardiovascular; Dermatologic; Gastrointestinal	Allergy/Immunology/Infectious; Cardiovascular		Antiinfectious prophylaxis and  early and aggressive treatment of infections may be beneficial; Individuals may also have cardiovascular manifestations, and surveillance may allow beneficial interventions	22010916
ADAM9	216	8754	Cone-rod dystrophy 9	AR	N/A	N/A	Ophthalmologic	General		Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing	11581183; 19409519
ADAMTS10	13201	81794	Weill-Marchesani syndrome 1	AR	Pediatric		Cardiovascular; Musculoskeletal; Neurologic; Ophthalmologic	Cardiovascular; Ophthalmologic		Individuals can have cardiac anomalies, including long QTc, and awareness may allow for preventive/medical management, which may decrease morbidity and mortality; As the condition can include glaucoma, surveillance can allow early interventions that may potentially be beneficial related to preservation of visual status	11941487; 14598350; 15368195; 17663475
ADAMTS13	1366	11093	Thrombotic thrombocytopenic purpura, familial; Schulman-Upshaw syndrome	AR	Pediatric		Hematologic; Neurologic; Renal	Hematologic; Obstetric		Administration of plasma can be beneficial; Specific treatment in pregnancy may be beneficial	14443744; 651994; 7290149; 11530798; 11586351; 12181489; 12576319; 12637323; 19055667
