"Gene"	"Disease"	"Inheritance_JS"	"MedicalAction"	"ModifiedInh_JS"	"Source"	"Inheritance_source"	"Gene_ReviewedJS"	"Comments_JS"
"CYP27B1,VDD1,PDDR"	"Vitamin D-dependent rickets, type I, 264700 (3)  "	"AR"	"Medically Actionable"	"0"	"Berg.et.al.2013"	"AR"	"CYP27B1"	""
"DBT,BCATE2"	"Maple syrup urine disease, type II, 248600 (3)  "	"AR"	"Medically Actionable"	"0"	"Berg.et.al.2013"	"AR"	"DBT"	""
"ETFA,GA2"	"Glutaricaciduria, type IIA, 231680 (3)  "	"AR"	"Medically Actionable"	"0"	"Berg.et.al.2013"	"AR"	"ETFA"	""
"ETFB"	"Glutaricaciduria, type IIB, 231680 (3)  "	"AR"	"Medically Actionable"	"0"	"Berg.et.al.2013"	"AR"	"ETFB"	""
"ETFDH"	"Glutaricaciduria, type IIC, 231680 (3)  "	"AR"	"Medically Actionable"	"0"	"Berg.et.al.2013"	"AR"	"ETFDH"	""
"G6PC,G6PT"	"Glycogen storage disease I (3)  "	"AR"	"Medically Actionable"	"0"	"Berg.et.al.2013"	"AR"	"G6PC"	""
"GAA"	"Glycogen storage disease II, 232300 (3)  "	"AR"	"Medically Actionable"	"0"	"Berg.et.al.2013"	"AR"	"GAA"	""
"GALE"	"Galactose epimerase deficiency, 230350 (3)  "	"AR"	"Medically Actionable"	"0"	"Berg.et.al.2013"	"AR"	"GALE"	""
"GALT"	"Galactosemia, 230400 (3)  "	"AR"	"Medically Actionable"	"0"	"Berg.et.al.2013"	"AR"	"GALT"	""
"GBA"	"Gaucher disease, type I, 230800(3); Gaucher disease, type II, 230900(3); Gaucher disease, type III, 231000 (3); Gaucher disease, type IIIC, 231005 (3); Gaucher disease, perinatal lethal, 608013 (3) "	"AR"	"Medically Actionable"	"0"	"Berg.et.al.2013"	"AR"	"GBA"	""
"GCDH"	"Glutaricaciduria, type I, 231670 (3)  "	"AR"	"Medically Actionable"	"0"	"Berg.et.al.2013"	"AR"	"GCDH"	""
"GIF,IF"	"Intrinsic factor deficiency, 261000 (3)  "	"AR"	"Medically Actionable"	"0"	"Berg.et.al.2013"	"AR"	"GIF"	""
"GLA"	"Fabry disease, 301500 (3); Fabry disease, cardiac variant, 301500 (3)  "	"XC"	"Medically Actionable"	"1"	"Berg.et.al.2013"	"XD"	"GLA"	""
"GYS2"	"Glycogen storage disease, type 0, 240600 (3)  "	"AR"	"Medically Actionable"	"0"	"Berg.et.al.2013"	"AR"	"GYS2"	""
"HLCS,HCS"	"Holocarboxylase synthetase deficiency, 253270 (3)  "	"AR"	"Medically Actionable"	"0"	"Berg.et.al.2013"	"AR"	"HLCS"	""
"HMGCL"	"HMG-CoA lyase deficiency (3)  "	"AR"	"Medically Actionable"	"0"	"Berg.et.al.2013"	"AR"	"HMGCL"	""
"HMGCS2"	"HMG-CoA synthase-2 deficiency, 605911 (3)  "	"AR"	"Medically Actionable"	"0"	"Berg.et.al.2013"	"AR"	"HMGCS2"	""
"HSD11B2,HSD11K"	"Apparent mineralocorticoid excess, hypertension due to (3);Hypertension, mild low-renin (3)  "	"AR"	"Medically Actionable"	"0"	"Berg.et.al.2013"	"AR"	"HSD11B2"	""
"IVD"	"Isovaleric acidemia, 243500 (3)  "	"AR"	"Medically Actionable"	"0"	"Berg.et.al.2013"	"AR"	"IVD"	""
"IYD,DEHAL1,TDH4"	"Thyroid dyshormonogenesis 4, 274800 (3)  "	"AR"	"Medically Actionable"	"0"	"Berg.et.al.2013"	"AR"	"IYD"	""
"LMBRD1,LMBD1,NESI"	"Methylmalonic aciduria and homocystinuria, cblF type, 277380 (3)  "	"AR"	"Medically Actionable"	"0"	"Berg.et.al.2013"	"AR"	"LMBRD1"	""
"MCEE"	"Methylmalonyl-CoA epimerase deficiency, 251120 (3)  "	"AR"	"Medically Actionable"	"0"	"Berg.et.al.2013"	"AR"	"MCEE"	""
"MMAA"	"Methylmalonic aciduria, vitamin B12-responsive, 251100 (3)  "	"AR"	"Medically Actionable"	"0"	"Berg.et.al.2013"	"AR"	"MMAA"	""
"MMAB"	"Methylmalonic aciduria, vitamin B12-responsive, due to defect insynthesis of adenosylcobalamin, cblB complementation type, 251110 (3)  "	"AR"	"Medically Actionable"	"0"	"Berg.et.al.2013"	"AR"	"MMAB"	""
"MMACHC"	"Methylmalonic aciduria and homocystinuria, cblC type, 277400 (3)  "	"AR"	"Medically Actionable"	"0"	"Berg.et.al.2013"	"AR"	"MMACHC"	""
"MTHFR"	"Homocystinuria due to MTHFR deficiency, 236250 (3); {Schizophrenia,susceptibility to}, 181500 (3); {Vascular disease, susceptibility to} (3); {Neural tube defects, susceptibility to}, 601634 (3); {Thromboembolism,susceptibility to}, 188050 (3) "	"AR"	"Medically Actionable"	"0"	"Berg.et.al.2013"	"AR"	"MTHFR"	""
"MUT,MCM"	"Methylmalonic aciduria, mut(0) type, 251000 (3)  "	"AR"	"Medically Actionable"	"0"	"Berg.et.al.2013"	"AR"	"MUT"	""
"OTC"	"Ornithine transcarbamylase deficiency, 311250 (3)  "	"XR"	"Medically Actionable"	"0"	"Berg.et.al.2013"	"XR"	"OTC"	""
"PAH,PKU1"	"Phenylketonuria, 261600 (3); [Hyperphenylalaninemia, non-PKU mild],261600 (3)  "	"AR"	"Medically Actionable"	"0"	"Berg.et.al.2013"	"AR"	"PAH"	""
"PCBD,DCOH,PCBD1"	"Hyperphenylalaninemia, BH4-deficient, D, 264070 (3)  "	"AR"	"Medically Actionable"	"0"	"Berg.et.al.2013"	"AR"	"PCBD1"	""
"PCCA"	"Propionicacidemia, 606054 (3)  "	"AR"	"Medically Actionable"	"0"	"Berg.et.al.2013"	"AR"	"PCCA"	""
"PCCB"	"Propionicacidemia, 606054 (3)  "	"AR"	"Medically Actionable"	"0"	"Berg.et.al.2013"	"AR"	"PCCB"	""
"PDSS1,TPT,COQ1"	"Coenzyme Q10 deficiency, 607426 (3)  "	"AR"	"Medically Actionable"	"0"	"Berg.et.al.2013"	"AR"	"PDSS1"	""
"PDSS2,DLP1,C6orf210"	"Coenzyme Q10 deficiency, 607426 (3)  "	"AR"	"Medically Actionable"	"0"	"Berg.et.al.2013"	"AR"	"PDSS2"	""
"PTS"	"Hyperphenylalaninemia, BH4-deficient, A, 261640 (3)  "	"AR"	"Medically Actionable"	"0"	"Berg.et.al.2013"	"AR"	"PTS"	""
"QDPR,DHPR"	"Hyperphenylalaninemia, BH4-deficient, C, 261630 (3)  "	"AR"	"Medically Actionable"	"0"	"Berg.et.al.2013"	"AR"	"QDPR"	""
"SLC19A2,THTR1"	"Thiamine-responsive megaloblastic anemia syndrome, 249270 (3)  "	"AR"	"Medically Actionable"	"0"	"Berg.et.al.2013"	"AR"	"SLC19A2"	""
"SLC19A3"	"Basal ganglia disease, biotin-responsive, 607483 (3); Encephalopathy,thiamine-responsive (3)  "	"AR"	"Medically Actionable"	"0"	"Berg.et.al.2013"	"AR"	"SLC19A3"	""
"SLC22A5,OCTN2,CDSP"	"Carnitine deficiency, systemic primary, 212140 (3)  "	"AR"	"Medically Actionable"	"0"	"Berg.et.al.2013"	"AR"	"SLC22A5"	""
"SLC37A4,G6PT1"	"Glycogen storage disease Ib, 232220 (3); Glycogen storage disease Ic,232240 (3)  "	"AR"	"Medically Actionable"	"0"	"Berg.et.al.2013"	"AR"	"SLC37A4"	""
"SLC3A1,ATR1,D2H,NBAT"	"Cystinuria, 220100 (3)  "	"AR"	"Medically Actionable"	"0"	"Berg.et.al.2013"	"AR"	"SLC3A1"	""
"SLC46A1,HCP1,PCFT"	"Folate malabsorption, hereditary, 229050 (3)  "	"AR"	"Medically Actionable"	"0"	"Berg.et.al.2013"	"AR"	"SLC46A1"	""
"SLC6A8,CRTR"	"Creatine deficiency syndrome, X-linked, 300352 (3)  "	"XR"	"Medically Actionable"	"0"	"Berg.et.al.2013"	"XR"	"SLC6A8"	""
"SLC7A9,CSNU3"	"Cystinuria, 220100 (3)  "	"CX"	"Medically Actionable"	"0"	"Berg.et.al.2013"	"CX"	"SLC7A9"	""
"TSHB,CHNG4"	"Hypothryoidism, congenital, nongoitrous 4, 275100 (3)  "	"AR"	"Medically Actionable"	"0"	"Berg.et.al.2013"	"AR"	"TSHB"	""
"TTPA,TTP1,AVED"	"Ataxia with isolated vitamin E deficiency, 277460 (3)  "	"AR"	"Medically Actionable"	"0"	"Berg.et.al.2013"	"AR"	"TTPA"	""
"ATP7B,WND"	"Wilson disease, 277900 (3)  "	"AR"	"Medically Actionable"	"0"	"Berg.et.al.2013"	"AR"	"ATP7B"	""
"C2orf25,MMADHC"	"Homocystinuria, cblD type, variant 1, 277410 (3); Methylmalonicaciduria, cblD type, variant 2, 277410 (3); Methylmalonic aciduria and homocystinuria, cblD type, 277410 (3) "	"AR"	"Medically Actionable"	"0"	"Berg.et.al.2013"	"AR"	"MMADHC"	""
"CPS1"	"Carbamoylphosphate synthetase I deficiency, 237300 (3); {Pulmonaryhypertension, familial persistent, of the newborn}, 265380 (3); {Venoocclusive disease after bone marrow transplantation} (3) "	"AR"	"Medically Actionable"	"0"	"Berg.et.al.2013"	"AR"	"CPS1"	""
"CPT1A"	"CPT deficiency, hepatic, type IA, 255120 (3)  "	"AR"	"Medically Actionable"	"0"	"Berg.et.al.2013"	"AR"	"CPT1A"	""
"DLD,LAD,PHE3"	"Maple syrup urine disease, type III, 248600 (3); Leigh syndrome,256000 (3)  "	"AR"	"Medically Actionable"	"0"	"Berg.et.al.2013"	"AR"	"DLD"	""
"FAH"	"Tyrosinemia, type I (3)  "	"AR"	"Medically Actionable"	"0"	"Berg.et.al.2013"	"AR"	"FAH"	""
"TG,AITD3,TDH3"	"Thyroid dyshormonogenesis 3, 274700 (3); {Autoimmune thyroid disease,susceptibility to 3}, 608175 (3)  "	"AR"	"Medically Actionable"	"0"	"Berg.et.al.2013"	"AR"	"TG"	""
"BLK,MODY11"	"Maturity-onset diabetes of the young, type 11, 613375 (3)  "	"AD"	"Medically Actionable"	"0"	"Berg.et.al.2013"	"AD"	"BLK"	""
"CEL,BSSL,CELL,MODY8"	"Maturity-onset diabetes of the young, type VIII, 609812 (3)  "	"AD"	"Medically Actionable"	"0"	"Berg.et.al.2013"	"AD"	"CEL"	""
"CFTR,ABCC7,CF,MRP7"	"Cystic fibrosis, 219700 (3); Congenital bilateral absence of vasdeferens, 277180 (3); Sweat chloride elevation without CF (3); {Pancreatitis, idiopathic}, 167800 (3); {Hypertrypsinemia, neonatal} (3);{Bronchiectasis with or without elevated sweat chloride 1, modifier of}, 211400 (3)"	"AR"	"Medically Actionable"	"0"	"Berg.et.al.2013"	"AR"	"CFTR"	""
"CYP11B1,P450C11,FHI"	"Adrenal hyperplasia, congenital, due to 11-beta-hydroxylasedeficiency, 202010 (3); Aldosteronism, glucocorticoid-remediable, 103900 (3)  "	"AR"	"Medically Actionable"	"0"	"Berg.et.al.2013"	"AR"	"CYP11B1"	""
"CYP21A2,CYP21,CA21H"	"Adrenal hyperplasia, congenital, due to 21-hydroxylase deficiency(3); Hyperandrogenism, nonclassic type, due to 21-hydroxylase deficiency (3)  "	"AR"	"Medically Actionable"	"0"	"Berg.et.al.2013"	"AR"	"CYP21A2"	""
"DUOX2,THOX2,TDH6"	"Thryoid dyshormonogenesis 6, 607200 (3)  "	"AR"	"Medically Actionable"	"0"	"Berg.et.al.2013"	"AR"	"DUOX2"	""
"DUOXA2,TDH5"	"Thyroid dyshormonogenesis 5, 274900 (3)  "	"AR"	"Medically Actionable"	"0"	"Berg.et.al.2013"	"AR"	"DUOXA2"	""
"ELN"	"Supravalvar aortic stenosis, 185500 (3); Cutis laxa, AD, 123700 (3)  "	"AD"	"Medically Actionable"	"0"	"Berg.et.al.2013"	"AD"	"ELN"	""
"GCK,HHF3"	"MODY, type II, 125851 (3); Diabetes mellitus, noninsulin-dependent,late onset, 125853 (3); Diabetes mellitus, gestational, 125851 (3); Hyperinsulinemic hypoglycemia, familial, 3, 602485 (3); Diabetes mellitus,permanent neonatal, 606176 (3) "	"AD"	"Medically Actionable"	"0"	"Berg.et.al.2013"	"AD"	"GCK"	""
"HNF1A,TCF1,MODY3,IDDM20"	"MODY, type III, 600496 (3); {Diabetes mellitus, noninsulin-dependent,2}, 125853 (3); {Diabetes mellitus, insulin-dependent}, 222100 (3); Hepatic adenoma, 142330 (3); Renal cell carcinoma, 144700 (3); Diabetesmellitus, insulin-dependent, 20, 612520 (3) "	"AD"	"Medically Actionable"	"0"	"Berg.et.al.2013"	"AD"	"HNF1A"	""
"HNF4A,TCF14,MODY1"	"MODY, type I, 125850 (3); {Diabetes mellitus, noninsulin-dependent},125853 (3)  "	"AD"	"Medically Actionable"	"0"	"Berg.et.al.2013"	"AD"	"HNF4A"	""
"INS,MODY10,IDDM2"	"Hyperproinsulinemia, familial, with or without diabetes (3);Maturity-onset diabetes of the young, type 10, 613370 (3); Diabetes mellitus, permanent neonatal, 606176 (3); Diabetes mellitus, type 1, 125852 (3);Diabetes mellitus, insulin-dependent, 2, 125852 (3) "	"AD"	"Medically Actionable"	"0"	"Berg.et.al.2013"	"AD"	"INS"	""
"IPF1,MODY4,PDX1"	"Pancreatic agenesis, 260370 (3); MODY, type IV, 606392 (3); {Diabetesmellitus, type II, susceptibility to}, 125853 (3)  "	"AD"	"Medically Actionable"	"0"	"Berg.et.al.2013"	"AD"	"PDX1"	""
"KLF11,TIEG2,FKLF1,FKLF,MODY7"	"Maturity-onset diabetes of the young, type VII, 610508 (3)  "	"AD"	"Medically Actionable"	"0"	"Berg.et.al.2013"	"AD"	"KLF11"	""
"PAX4,MODY9,KPD"	"Maturity-onset diabetes of the young, type IX, 612225 (3);Diabetes mellitus, type 2, 125853 (3); Diabetes mellitus, ketosis-prone, 612227 (3) "	"AD"	"Medically Actionable"	"0"	"Berg.et.al.2013"	"AD"	"PAX4"	""
"TBX19"	"Adrenocorticotropic hormone deficiency, 201400 (3)  "	"AR"	"Medically Actionable"	"0"	"Berg.et.al.2013"	"AR"	"TBX19"	""
"NEUROD1,NIDDM"	"{Diabetes mellitus, noninsulin-dependent}, 125853 (3);Maturity-onset diabetes of the young 6, 606394 (3)  "	"AD"	"Medically Actionable"	"0"	"Berg.et.al.2013"	"AD"	"NEUROD1"	""
"ACTA2"	"thoracic aortic aneurysms and aortic dissections (TAAD)æ"	"AD "	"Medically Actionable"	"0"	"Berg.et.al.2013"	"AD "	"ACTA2"	""
"AKAP9"	"Romano-Ward syndromeæ"	"AD "	"Medically Actionable"	"0"	"Berg.et.al.2013"	"AD "	"AKAP9"	""
"COL3A1"	"Ehlers-Danlos syndrome type IV"	"AD "	"Medically Actionable"	"0"	"Berg.et.al.2013"	"AD "	"COL3A1"	""
"FBN1æ"	"Marfan syndrome"	"AD "	"Medically Actionable"	"0"	"Berg.et.al.2013"	"AD "	"FBN1"	""
"KCNE1"	"Romano-Ward syndromeæ"	"AD "	"Medically Actionable"	"0"	"Berg.et.al.2013"	"AD "	"KCNE1"	""
"KCNE2"	"Romano-Ward syndromeæ"	"AD "	"Medically Actionable"	"0"	"Berg.et.al.2013"	"AD "	"KCNE2"	""
"KCNQ1"	"Romano-Ward syndromeæ"	"AD "	"Medically Actionable"	"0"	"Berg.et.al.2013"	"AD "	"KCNQ1"	""
"MYH11"	"thoracic aortic aneurysms and aortic dissections (TAAD)æ"	"AD "	"Medically Actionable"	"0"	"Berg.et.al.2013"	"AD "	"MYH11"	""
"SCN4B"	"Romano-Ward syndromeæ"	"AD "	"Medically Actionable"	"0"	"Berg.et.al.2013"	"AD "	"SCN4B"	""
"SCN5A  "	"Brugada syndrome"	"AD"	"Medically Actionable"	"0"	"Berg.et.al.2013"	"AD"	"SCN5A"	""
"TGFBR1æ"	"Loeys-Dietz syndromeæ"	"AD "	"Medically Actionable"	"0"	"Berg.et.al.2013"	"AD "	"TGFBR1"	""
"TGFBR2"	"Loeys-Dietz syndromeæ"	"AD "	"Medically Actionable"	"0"	"Berg.et.al.2013"	"AD "	"TGFBR2"	""
"ACVRL1,ACVRLK1,ALK1,HHT2"	"Telangiectasia, hereditary hemorrhagic, type 2, 600376 (3)  "	"AD"	"Medically Actionable"	"0"	"Berg.et.al.2013"	"AD"	"ACVRL1"	""
"ANK2,LQT4"	"Long QT syndrome-4, 600919 (3); Cardiac arrhythmia,ankyrin-B-related, 600919 (3)  "	"AD"	"Medically Actionable"	"0"	"Berg.et.al.2013"	"AD"	"ANK2"	""
"ENG,END,HHT1,ORW"	"Telangiectasia, hereditary hemorrhagic, type 1, 187300 (3)  "	"AD"	"Medically Actionable"	"0"	"Berg.et.al.2013"	"AD"	"ENG"	""
"KCNH2,LQT2,HERG,SQT1"	"Long QT syndrome-2, 613688 (3); {Long QT syndrome-2, acquired,susceptibility to}, 613688 (3); Short QT syndrome-1, 609620 (3)  "	"AD"	"Medically Actionable"	"0"	"Berg.et.al.2013"	"AD"	"KCNH2"	""
"KCNJ2,HHIRK1,KIR2.1,IRK1,LQT7,SQT3"	"Long QT syndrome-7, 170390 (3); Short QT syndrome-3, 609622 (3)  "	"AD"	"Medically Actionable"	"0"	"Berg.et.al.2013"	"AD"	"KCNJ2"	""
"PRKAG2,WPWS,CMH6"	"Wolff-Parkinson-White syndrome, 194200 (3); Cardiomyopathy,hypertrophic 6, with WPW, 600858 (3); Glycogen storage disease of heart, lethal congenital, 261740 (3) "	"AD"	"Medically Actionable"	"0"	"Berg.et.al.2013"	"AD"	"PRKAG2"	""
"SNT1,LQT12,SNTA1"	"Long QT syndrome 12, 612955 (3)  "	"AD"	"Medically Actionable"	"0"	"Berg.et.al.2013"	"AD"	"SNTA1"	""
"COL1A2"	"Ehlers-Danlos syndrome, type VIIB, 130060 (3); Osteogenesisimperfecta, type IV, 166220 (3); Osteogenesis imperfecta, type III, 259420 (3); Osteogenesis imperfecta, type II, 166210 (3); {Osteoporosis, postmenopausal},166710 (3); Ehlers-Danlos syndrome, cardiac valvular form, 225320 (3) "	"AD"	"Medically Actionable"	"0"	"Berg.et.al.2013"	"AD"	"COL1A2"	""
"SERPINC1"	"Antithrombin III deficiency, 613118 (3)  "	"AD"	"Medically Actionable"	"0"	"Berg.et.al.2013"	"AD"	"SERPINC1"	""
"APC"	"colon cancer predisposition"	"AD"	"Medically Actionable"	"0"	"Berg.et.al.2013"	"AD"	"APC"	""
"BRCA1 "	"Hereditary Breast and Ovarian Cancer "	"AD"	"Medically Actionable"	"0"	"Berg.et.al.2013"	"AD"	"BRCA1"	""
"BRCA2 "	"Hereditary Breast and Ovarian Cancer "	"AD"	"Medically Actionable"	"0"	"Berg.et.al.2013"	"AD"	"BRCA2"	""
"CDH1"	"Hereditary diffuse gastric cancer"	"AD"	"Medically Actionable"	"0"	"Berg.et.al.2013"	"AD"	"CDH1"	""
"FHæ"	"Hereditary leiomyomatosis and renal cell cancer"	"AD"	"Medically Actionable"	"0"	"Berg.et.al.2013"	"AD"	"FH"	""
"MEN1"	"Multiple endocrine neoplasia type 1"	"AD"	"Medically Actionable"	"0"	"Berg.et.al.2013"	"AD"	"MEN1"	""
"MLH1"	"Lynch syndromeæ"	"AD"	"Medically Actionable"	"0"	"Berg.et.al.2013"	"AD"	"MLH1"	""
"MSH2"	"Lynch syndromeæ"	"AD"	"Medically Actionable"	"0"	"Berg.et.al.2013"	"AD"	"MSH2"	""
"MSH6"	"Lynch syndromeæ"	"AD"	"Medically Actionable"	"0"	"Berg.et.al.2013"	"AD"	"MSH6"	""
"PMS2"	"Lynch syndromeæ"	"AD"	"Medically Actionable"	"0"	"Berg.et.al.2013"	"AD"	"PMS2"	""
"PTEN"	"PTEN Hamartoma Tumor syndrome"	"AD"	"Medically Actionable"	"0"	"Berg.et.al.2013"	"AD"	"PTEN"	""
"RB1"	"Retinoblastoma"	"AD"	"Medically Actionable"	"0"	"Berg.et.al.2013"	"AD"	"RB1"	""
"RET"	"Multiple endocrine neoplasia type 2"	"AD"	"Medically Actionable"	"0"	"Berg.et.al.2013"	"AD"	"RET"	""
"SDHAF2"	"Hereditary paraganglioma-pheochromocytoma"	"AD"	"Medically Actionable"	"0"	"Berg.et.al.2013"	"AD"	"SDHAF2"	""
"SDHB"	"Hereditary paraganglioma-pheochromocytoma"	"AD"	"Medically Actionable"	"0"	"Berg.et.al.2013"	"AD"	"SDHB"	""
"SDHD"	"Hereditary paraganglioma-pheochromocytoma"	"AD"	"Medically Actionable"	"0"	"Berg.et.al.2013"	"AD"	"SDHD"	""
"STK11"	"Peutz-Jeghers syndrome"	"AD"	"Medically Actionable"	"0"	"Berg.et.al.2013"	"AD"	"STK11"	""
"TP53"	"Li-Fraumeni syndromeæ"	"AD"	"Medically Actionable"	"0"	"Berg.et.al.2013"	"AD"	"TP53"	""
"VHL"	"Von Hippel-Lindau (VHL) disease"	"AD"	"Medically Actionable"	"0"	"Berg.et.al.2013"	"AD"	"VHL"	""
"CDKN1B,KIP1,CDKN4,MEN4"	"Multiple endocrine neoplasia, type IV, 610755 (3)  "	"AD"	"Medically Actionable"	"0"	"Berg.et.al.2013"	"AD"	"CDKN1B"	""
